fecha,inpc,inf,inpc_suby,inf_suby,tasa_desem,tiie_28,cetes_28
1969-01-01,0.01,,,,,,
1969-02-01,0.01,,,,,,
1969-03-01,0.01,,,,,,
1969-04-01,0.01,,,,,,
1969-05-01,0.01,,,,,,
1969-06-01,0.01,,,,,,
1969-07-01,0.01,,,,,,
1969-08-01,0.01,,,,,,
1969-09-01,0.01,,,,,,
1969-10-01,0.01,,,,,,
1969-11-01,0.01,,,,,,
1969-12-01,0.01,,,,,,
1970-01-01,0.01,5.20,,,,,
1970-02-01,0.01,4.81,,,,,
1970-03-01,0.01,5.01,,,,,
1970-04-01,0.01,4.86,,,,,
1970-05-01,0.01,5.09,,,,,
1970-06-01,0.01,5.35,,,,,
1970-07-01,0.01,5.46,,,,,
1970-08-01,0.01,5.83,,,,,
1970-09-01,0.01,5.11,,,,,
1970-10-01,0.01,4.05,,,,,
1970-11-01,0.01,4.60,,,,,
1970-12-01,0.01,4.69,,,,,
1971-01-01,0.01,4.93,,,,,
1971-02-01,0.01,5.38,,,,,
1971-03-01,0.01,5.47,,,,,
1971-04-01,0.01,5.87,,,,,
1971-05-01,0.01,5.87,,,,,
1971-06-01,0.01,5.71,,,,,
1971-07-01,0.01,5.11,,,,,
1971-08-01,0.01,5.58,,,,,
1971-09-01,0.01,5.67,,,,,
1971-10-01,0.01,5.74,,,,,
1971-11-01,0.01,5.35,,,,,
1971-12-01,0.01,4.96,,,,,
1972-01-01,0.01,4.40,,,,,
1972-02-01,0.01,4.29,,,,,
1972-03-01,0.01,4.46,,,,,
1972-04-01,0.01,4.58,,,,,
1972-05-01,0.01,4.57,,,,,
1972-06-01,0.01,4.87,,,,,
1972-07-01,0.01,5.34,,,,,
1972-08-01,0.01,5.08,,,,,
1972-09-01,0.01,5.22,,,,,
1972-10-01,0.01,5.19,,,,,
1972-11-01,0.01,5.69,,,,,
1972-12-01,0.01,5.56,,,,,
1973-01-01,0.01,6.62,,,,,
1973-02-01,0.01,7.16,,,,,
1973-03-01,0.01,7.52,,,,,
1973-04-01,0.01,8.54,,,,,
1973-05-01,0.01,9.48,,,,,
1973-06-01,0.01,9.56,,,,,
1973-07-01,0.02,11.95,,,,,
1973-08-01,0.02,13.00,,,,,
1973-09-01,0.02,15.16,,,,,
1973-10-01,0.02,16.56,,,,,
1973-11-01,0.02,17.24,,,,,
1973-12-01,0.02,21.37,,,,,
1974-01-01,0.02,23.92,,,,,
1974-02-01,0.02,25.68,,,,,
1974-03-01,0.02,25.54,,,,,
1974-04-01,0.02,25.27,,,,,
1974-05-01,0.02,24.92,,,,,
1974-06-01,0.02,25.12,,,,,
1974-07-01,0.02,23.77,,,,,
1974-08-01,0.02,23.10,,,,,
1974-09-01,0.02,21.60,,,,,
1974-10-01,0.02,22.44,,,,,
1974-11-01,0.02,24.31,,,,,
1974-12-01,0.02,20.59,,,,,
1975-01-01,0.02,17.92,,,,,
1975-02-01,0.02,15.95,,,,,
1975-03-01,0.02,15.79,,,,,
1975-04-01,0.02,15.20,,,,,
1975-05-01,0.02,15.83,,,,,
1975-06-01,0.02,16.65,,,,,
1975-07-01,0.02,15.91,,,,,
1975-08-01,0.02,15.69,,,,,
1975-09-01,0.02,15.22,,,,,
1975-10-01,0.02,13.56,,,,,
1975-11-01,0.02,11.27,,,,,
1975-12-01,0.02,11.31,,,,,
1976-01-01,0.02,12.02,,,,,
1976-02-01,0.02,13.49,,,,,
1976-03-01,0.02,13.89,,,,,
1976-04-01,0.02,13.72,,,,,
1976-05-01,0.02,13.01,,,,,
1976-06-01,0.02,11.57,,,,,
1976-07-01,0.02,11.62,,,,,
1976-08-01,0.02,11.72,,,,,
1976-09-01,0.03,14.69,,,,,
1976-10-01,0.03,20.53,,,,,
1976-11-01,0.03,25.10,,,,,
1976-12-01,0.03,27.20,,,,,
1977-01-01,0.03,28.77,,,,,
1977-02-01,0.03,29.19,,,,,
1977-03-01,0.03,30.17,,,,,
1977-04-01,0.03,31.22,,,,,
1977-05-01,0.03,31.45,,,,,
1977-06-01,0.03,32.53,,,,,
1977-07-01,0.03,32.91,,,,,
1977-08-01,0.03,34.35,,,,,
1977-09-01,0.03,32.22,,,,,
1977-10-01,0.03,26.13,,,,,
1977-11-01,0.03,22.00,,,,,
1977-12-01,0.04,20.66,,,,,
1978-01-01,0.04,19.53,,,,,
1978-02-01,0.04,18.63,,,,,
1978-03-01,0.04,17.81,,,,,
1978-04-01,0.04,17.35,,,,,
1978-05-01,0.04,17.46,,,,,
1978-06-01,0.04,17.64,,,,,
1978-07-01,0.04,18.30,,,,,
1978-08-01,0.04,17.08,,,,,
1978-09-01,0.04,16.35,,,,,
1978-10-01,0.04,16.86,,,,,
1978-11-01,0.04,16.79,,,,,
1978-12-01,0.04,16.17,,,,,
1979-01-01,0.04,17.68,,,,,
1979-02-01,0.04,17.68,,,,,
1979-03-01,0.04,18.05,,,,,
1979-04-01,0.04,17.79,,,,,
1979-05-01,0.04,18.18,,,,,
1979-06-01,0.04,17.87,,,,,
1979-07-01,0.05,17.31,,,,,
1979-08-01,0.05,17.91,,,,,
1979-09-01,0.05,18.01,,,,,
1979-10-01,0.05,18.63,,,,,
1979-11-01,0.05,18.93,,,,,
1979-12-01,0.05,20.02,,,,,
1980-01-01,0.05,21.56,,,,,
1980-02-01,0.05,22.60,,,,,
1980-03-01,0.05,23.45,,,,,
1980-04-01,0.05,24.49,,,,,
1980-05-01,0.06,24.89,,,,,
1980-06-01,0.06,25.97,,,,,
1980-07-01,0.06,27.94,,,,,
1980-08-01,0.06,28.64,,,,,
1980-09-01,0.06,28.49,,,,,
1980-10-01,0.06,28.20,,,,,
1980-11-01,0.06,28.77,,,,,
1980-12-01,0.06,29.85,,,,,
1981-01-01,0.07,27.80,,,,,
1981-02-01,0.07,27.98,,,,,
1981-03-01,0.07,28.08,,,,,
1981-04-01,0.07,28.72,,,,,
1981-05-01,0.07,28.57,,,,,
1981-06-01,0.07,27.83,,,,,
1981-07-01,0.07,26.55,,,,,
1981-08-01,0.08,26.54,,,,,
1981-09-01,0.08,27.47,,,,,
1981-10-01,0.08,28.36,,,,,
1981-11-01,0.08,28.60,,,,,
1981-12-01,0.08,28.68,,,,,
1982-01-01,0.09,30.86,0.09,,,,
1982-02-01,0.09,32.74,0.10,,,,
1982-03-01,0.09,34.71,0.10,,,,
1982-04-01,0.10,38.88,0.11,,,,
1982-05-01,0.10,44.50,0.11,,,,
1982-06-01,0.11,49.37,0.12,,,,
1982-07-01,0.11,54.35,0.13,,,,
1982-08-01,0.13,68.21,0.14,,,,
1982-09-01,0.13,73.95,0.14,,,,
1982-10-01,0.14,79.00,0.15,,,,
1982-11-01,0.15,84.49,0.16,,,,
1982-12-01,0.16,98.84,0.17,,,,
1983-01-01,0.18,110.04,0.20,110.12,,,
1983-02-01,0.19,112.95,0.21,114.04,,,
1983-03-01,0.20,115.39,0.22,115.68,,,
1983-04-01,0.21,117.25,0.23,115.54,,,
1983-05-01,0.22,114.61,0.24,111.71,,,
1983-06-01,0.23,112.50,0.25,108.90,,,
1983-07-01,0.24,112.08,0.26,110.58,,,
1983-08-01,0.25,98.08,0.28,101.30,,,
1983-09-01,0.26,93.83,0.29,97.23,,,
1983-10-01,0.27,90.39,0.30,92.38,,,
1983-11-01,0.28,91.87,0.31,92.26,,,
1983-12-01,0.29,80.78,0.33,86.59,,,
1984-01-01,0.31,73.40,0.34,75.89,,,
1984-02-01,0.33,73.25,0.36,75.28,,,
1984-03-01,0.34,72.31,0.38,73.92,,,
1984-04-01,0.36,69.06,0.39,70.15,,,
1984-05-01,0.37,67.41,0.40,67.85,,,
1984-06-01,0.38,67.14,0.42,68.24,,,
1984-07-01,0.40,64.49,0.43,64.61,,,
1984-08-01,0.41,62.84,0.45,61.61,,,
1984-09-01,0.42,62.68,0.46,62.04,,,
1984-10-01,0.43,62.96,0.48,63.47,,,
1984-11-01,0.45,59.20,0.50,59.66,,,
1984-12-01,0.47,59.16,0.52,59.45,,,
1985-01-01,0.50,60.75,0.55,59.29,5.20,,
1985-02-01,0.52,59.04,0.57,57.29,5.70,,48.26
1985-03-01,0.54,58.43,0.60,57.76,4.80,,55.29
1985-04-01,0.56,56.53,0.61,56.87,4.50,,57.77
1985-05-01,0.57,55.10,0.63,56.78,4.40,,56.08
1985-06-01,0.59,53.43,0.65,54.92,3.90,,61.98
1985-07-01,0.61,53.73,0.67,54.80,4.40,,65.54
1985-08-01,0.64,56.02,0.70,57.38,4.60,,69.31
1985-09-01,0.66,57.55,0.73,58.63,4.80,,65.35
1985-10-01,0.69,58.02,0.77,58.77,4.10,,61.95
1985-11-01,0.72,59.82,0.80,60.90,3.80,,64.12
1985-12-01,0.77,63.75,0.84,61.28,3.40,,71.65
1986-01-01,0.83,65.92,0.91,66.38,4.00,,72.15
1986-02-01,0.87,66.38,0.96,67.51,4.00,,72.49
1986-03-01,0.91,67.62,1.01,68.66,4.20,,77.00
1986-04-01,0.96,71.11,1.06,73.03,3.90,,80.30
1986-05-01,1.01,76.44,1.13,78.04,3.50,,80.50
1986-06-01,1.08,83.17,1.20,85.26,3.90,,84.63
1986-07-01,1.13,85.84,1.27,87.97,5.50,,90.08
1986-08-01,1.22,92.25,1.34,90.09,4.30,,95.17
1986-09-01,1.29,95.96,1.42,93.40,5.00,,100.89
1986-10-01,1.37,99.58,1.52,97.77,5.20,,99.66
1986-11-01,1.46,103.67,1.62,101.62,4.20,,95.61
1986-12-01,1.58,105.75,1.74,107.88,3.80,,99.28
1987-01-01,1.70,104.34,1.89,107.35,4.50,,96.74
1987-02-01,1.83,109.76,2.03,111.92,4.70,,96.71
1987-03-01,1.95,113.69,2.17,115.44,4.00,,95.05
1987-04-01,2.12,120.86,2.33,119.08,4.40,,92.97
1987-05-01,2.28,125.00,2.50,121.98,3.70,,91.50
1987-06-01,2.44,126.73,2.68,122.86,3.80,,91.64
1987-07-01,2.64,133.44,2.92,130.46,4.10,,91.26
1987-08-01,2.86,133.88,3.13,133.99,3.60,,90.22
1987-09-01,3.05,135.18,3.36,136.59,4.10,,89.93
1987-10-01,3.30,141.00,3.66,141.41,3.90,,90.10
1987-11-01,3.56,143.65,4.00,147.12,3.20,,103.94
1987-12-01,4.09,159.17,4.50,158.02,2.60,,122.04
1988-01-01,4.72,176.83,5.09,169.71,3.60,,157.07
1988-02-01,5.11,179.73,5.62,176.85,3.30,,153.52
1988-03-01,5.37,175.83,5.95,174.10,3.50,,96.48
1988-04-01,5.54,161.44,6.13,162.92,3.80,,63.50
1988-05-01,5.65,147.82,6.24,149.92,3.40,,53.12
1988-06-01,5.76,135.81,6.33,135.78,3.70,,40.41
1988-07-01,5.86,121.79,6.39,119.23,4.00,,40.32
1988-08-01,5.91,106.92,6.46,106.29,3.50,,41.34
1988-09-01,5.95,95.24,6.47,92.39,4.00,,41.84
1988-10-01,5.99,81.59,6.51,78.02,3.50,,44.51
1988-11-01,6.07,70.50,6.57,64.26,3.30,,50.00
1988-12-01,6.20,51.66,6.69,48.76,2.90,,52.32
1989-01-01,6.35,34.56,6.90,35.59,3.50,,50.78
1989-02-01,6.44,25.89,7.04,25.31,3.00,,49.15
1989-03-01,6.50,21.05,7.14,19.87,2.90,,47.79
1989-04-01,6.60,19.20,7.22,17.91,3.00,,50.09
1989-05-01,6.69,18.54,7.30,16.88,3.00,,51.83
1989-06-01,6.77,17.58,7.37,16.37,2.80,,56.68
1989-07-01,6.84,16.81,7.43,16.30,3.10,,47.03
1989-08-01,6.91,16.85,7.52,16.50,3.10,,34.76
1989-09-01,6.97,17.30,7.64,18.01,3.30,,34.35
1989-10-01,7.08,18.13,7.77,19.35,2.70,,37.92
1989-11-01,7.18,18.21,7.89,20.18,2.40,,38.99
1989-12-01,7.42,19.70,8.12,21.45,2.30,,40.55
1990-01-01,7.78,22.48,8.44,22.23,2.60,,41.29
1990-02-01,7.95,23.57,8.59,22.02,2.40,,45.20
1990-03-01,8.09,24.40,8.72,22.21,2.40,,46.64
1990-04-01,8.22,24.43,8.89,23.11,2.70,,44.64
1990-05-01,8.36,24.89,9.10,24.66,2.70,,36.92
1990-06-01,8.54,26.11,9.33,26.60,3.00,,32.39
1990-07-01,8.70,27.13,9.51,27.97,3.60,,30.66
1990-08-01,8.85,28.08,9.68,28.78,3.00,,29.72
1990-09-01,8.97,28.68,9.84,28.91,2.80,,30.15
1990-10-01,9.10,28.62,10.00,28.69,3.30,,28.70
1990-11-01,9.34,30.21,10.22,29.46,2.30,,24.82
1990-12-01,9.64,29.93,10.51,29.37,2.10,,25.99
1991-01-01,9.88,27.11,10.79,27.89,2.80,,23.64
1991-02-01,10.06,26.46,11.00,28.02,2.50,,23.15
1991-03-01,10.20,26.04,11.16,27.97,2.90,,22.04
1991-04-01,10.31,25.45,11.28,26.88,2.60,,21.12
1991-05-01,10.41,24.51,11.39,25.19,2.30,,19.77
1991-06-01,10.52,23.10,11.50,23.28,2.10,,17.74
1991-07-01,10.61,21.97,11.60,21.94,2.70,,18.47
1991-08-01,10.68,20.76,11.71,20.87,3.20,,16.71
1991-09-01,10.79,20.25,11.87,20.58,3.10,,17.55
1991-10-01,10.92,19.92,12.03,20.31,3.20,,17.87
1991-11-01,11.19,19.72,12.15,18.89,2.70,,16.62
1991-12-01,11.45,18.79,12.36,17.65,2.20,,16.65
1992-01-01,11.66,17.95,12.59,16.71,2.90,,15.31
1992-02-01,11.80,17.30,12.73,15.75,3.20,,14.56
1992-03-01,11.92,16.82,12.84,15.09,2.70,,11.84
1992-04-01,12.02,16.64,12.96,14.90,2.70,,12.44
1992-05-01,12.10,16.28,13.12,15.20,2.90,,13.60
1992-06-01,12.18,15.85,13.25,15.26,2.70,,15.03
1992-07-01,12.26,15.56,13.36,15.18,3.10,,16.23
1992-08-01,12.34,15.46,13.48,15.13,2.50,,16.49
1992-09-01,12.44,15.32,13.63,14.82,2.80,,17.54
1992-10-01,12.53,14.82,13.72,14.01,2.80,,19.39
1992-11-01,12.64,12.96,13.82,13.74,2.90,,18.15
1992-12-01,12.82,11.94,13.95,12.86,2.20,,16.88
1993-01-01,12.98,11.32,14.13,12.21,3.20,,16.72
1993-02-01,13.08,10.91,14.29,12.23,3.50,,17.73
1993-03-01,13.16,10.44,14.43,12.35,3.60,,17.47
1993-04-01,13.24,10.09,14.53,12.06,3.00,,16.17
1993-05-01,13.31,10.00,14.59,11.20,3.30,,15.04
1993-06-01,13.39,9.87,14.65,10.58,3.20,,15.50
1993-07-01,13.45,9.70,14.71,10.14,3.60,,13.85
1993-08-01,13.52,9.62,14.81,9.89,3.90,,13.68
1993-09-01,13.62,9.48,14.93,9.54,4.00,,13.71
1993-10-01,13.68,9.14,15.02,9.46,3.70,,13.13
1993-11-01,13.74,8.72,15.07,9.08,3.20,,14.38
1993-12-01,13.84,8.01,15.13,8.42,2.90,,11.78
1994-01-01,13.95,7.50,15.23,7.77,3.80,,10.52
1994-02-01,14.02,7.18,15.35,7.48,3.70,,9.45
1994-03-01,14.09,7.10,15.47,7.18,3.60,,9.73
1994-04-01,14.16,7.01,15.56,7.14,3.80,,15.79
1994-05-01,14.23,6.92,15.65,7.28,3.20,,16.36
1994-06-01,14.30,6.85,15.73,7.38,3.30,,16.18
1994-07-01,14.37,6.81,15.79,7.31,3.90,,17.07
1994-08-01,14.43,6.74,15.87,7.16,3.60,,14.46
1994-09-01,14.54,6.71,16.00,7.18,3.80,,13.76
1994-10-01,14.61,6.83,16.08,7.09,3.90,,13.60
1994-11-01,14.69,6.93,16.16,7.25,3.90,,13.74
1994-12-01,14.82,7.05,16.29,7.68,3.20,,18.51
1995-01-01,15.38,10.23,16.89,10.93,4.50,,37.25
1995-02-01,16.03,14.31,17.66,15.04,5.30,,41.69
1995-03-01,16.97,20.43,18.50,19.60,5.70,89.48,69.54
1995-04-01,18.33,29.39,19.90,27.86,6.30,85.22,74.75
1995-05-01,19.09,34.15,20.88,33.41,6.60,60.45,59.17
1995-06-01,19.70,37.72,21.60,37.24,6.60,49.50,47.25
1995-07-01,20.10,39.91,22.05,39.62,7.30,43.00,40.94
1995-08-01,20.43,41.57,22.46,41.51,7.60,37.60,35.14
1995-09-01,20.86,43.48,22.98,43.66,7.30,35.48,33.46
1995-10-01,21.28,45.66,23.38,45.43,6.70,42.61,40.29
1995-11-01,21.81,48.46,23.86,47.63,5.80,57.43,53.16
1995-12-01,22.52,51.97,24.53,50.60,5.50,51.36,48.62
1996-01-01,23.33,51.72,25.33,49.94,6.40,42.66,40.99
1996-02-01,23.87,48.95,25.93,46.79,6.30,40.11,38.58
1996-03-01,24.40,43.75,26.53,43.43,6.00,42.93,41.45
1996-04-01,25.09,36.93,27.26,37.00,5.90,36.61,35.21
1996-05-01,25.55,33.83,27.76,32.92,5.40,30.31,28.45
1996-06-01,25.97,31.82,28.23,30.74,5.60,30.11,27.81
1996-07-01,26.34,31.03,28.66,29.99,5.80,33.49,31.25
1996-08-01,26.69,30.60,29.04,29.34,5.30,29.36,26.51
1996-09-01,27.11,30.00,29.55,28.59,5.50,26.82,24.65
1996-10-01,27.45,28.97,29.89,27.81,5.20,28.68,25.75
1996-11-01,27.87,27.77,30.25,26.77,4.80,32.28,29.57
1996-12-01,28.76,27.70,30.90,25.95,4.10,29.92,27.23
1997-01-01,29.50,26.44,31.67,25.04,4.50,25.96,23.55
1997-02-01,29.99,25.64,32.22,24.26,4.22,22.11,19.80
1997-03-01,30.37,24.46,32.63,22.98,4.19,23.95,21.66
1997-04-01,30.70,22.33,33.04,21.21,4.29,23.98,21.35
1997-05-01,30.98,21.23,33.47,20.57,3.90,20.65,18.42
1997-06-01,31.25,20.35,33.82,19.79,3.40,22.53,20.17
1997-07-01,31.52,19.70,34.10,18.99,4.09,20.50,18.80
1997-08-01,31.80,19.18,34.37,18.35,3.50,20.64,18.93
1997-09-01,32.20,18.76,34.87,17.98,3.41,20.23,18.02
1997-10-01,32.46,18.24,35.19,17.73,3.23,19.70,17.92
1997-11-01,32.82,17.77,35.54,17.49,3.27,22.17,20.16
1997-12-01,33.28,15.72,35.98,16.46,2.82,20.48,18.85
1998-01-01,34.00,15.27,36.67,15.79,3.59,19.74,17.95
1998-02-01,34.60,15.35,37.38,16.02,3.53,20.52,18.74
1998-03-01,35.00,15.27,37.79,15.83,3.39,21.69,19.85
1998-04-01,35.33,15.10,38.22,15.68,3.05,20.55,19.03
1998-05-01,35.61,14.97,38.64,15.44,3.20,19.90,17.91
1998-06-01,36.03,15.31,39.09,15.58,3.36,21.47,19.50
1998-07-01,36.38,15.41,39.39,15.52,3.20,21.88,20.08
1998-08-01,36.73,15.50,39.80,15.78,3.02,25.78,22.64
1998-09-01,37.33,15.92,40.57,16.35,3.28,42.04,40.80
1998-10-01,37.86,16.65,41.13,16.90,3.11,37.65,34.86
1998-11-01,38.53,17.41,41.60,17.08,2.59,34.78,32.12
1998-12-01,39.47,18.61,42.25,17.44,2.60,36.69,33.66
1999-01-01,40.47,19.01,43.27,18.01,2.85,35.80,32.13
